popularity,budget,cast,release_date,voteScore,revenue,runtime,release_year,genres
0.757089,13300000,0,3,4224,5380251,108.0,2014.0,"['Thriller', 'Science Fiction', 'Drama']"
0.751773,6000000,0,3,1938,3485127,107.0,2014.0,"['Comedy', 'Drama', 'Crime']"
0.740796,22000000,0,2,305,67800064,138.0,2014.0,['Drama']
0.728025,6000000,1,2,774,15071,90.0,2014.0,"['Comedy', 'Drama', 'Romance']"
0.72546,3500000,0,2,987,5155325,79.0,2014.0,['Animation']
0.722877,8500000,2,2,1160,770706,107.0,2014.0,"['Drama', 'Fantasy', 'Science Fiction']"
0.714661,15000000,0,2,564,30127963,115.0,2014.0,['Drama']
0.688179,2000000,1,5,115,48390,91.0,2014.0,['Drama']
0.667732,200000,0,3,735,17834867,98.0,2014.0,['Horror']
0.660405,15000000,1,5,2358,31554855,121.0,2014.0,['Thriller']
0.646337,6500000,0,4,936,13865435,89.0,2014.0,['Horror']
0.635214,6600000,1,2,1038,1554000,124.0,2014.0,['Drama']
0.632048,5000000,0,1,1482,2450846,112.0,2014.0,"['Thriller', 'Crime', 'Drama', 'Mystery']"
0.615729,1000000,0,1,685,9318,87.0,2014.0,['Horror']
0.602735,2000000,0,3,2880,4635300,85.0,2014.0,"['Drama', 'Thriller']"
0.599079,36000000,1,1,378,52424533,107.0,2014.0,"['Family', 'Drama']"
